,Mission_ID,Mission_Date,Theater_of_Operations,Country,Aircraft_Series,Takeoff_Base,Takeoff_Location,Takeoff_Latitude,Takeoff_Longitude,Target_Country,Target_City,Target_Latitude,Target_Longitude,Altitude,High Explosives,High Explosives Type,High_Explosives_Weight_LBS,High_Explosives_Weight_Tons,Incendiary Devices,Incendiary Devices Type,Incendiary_Devices_Weight_LBS,Incendiary_Devices_Weight_Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation_Devices_Weight_LBS,Fragmentation_Devices_Weight_Tons,Total_Weight_LBS,Total_Weight_Tons
50041,50124,2/28/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,MARCIGLIANO (MARCIGLIANA),42.02,12.52,,64.0,500 LB GP (GP-M43/M64),,16.0,,,,,,,,,,16.0
50062,50145,2/28/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,CEPRANO,41.55,13.53,,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
50947,51037,8/20/1940,MTO,GREAT BRITAIN,WELL,SUMMIT,SUDAN,18.75,36.8167,ETHIOPIA,DESSIE,9.5833,41.8667,0.0,,250 LB GP (GP-M57),0,,,X,,,,,,,5500.0,2.75
50948,51039,8/21/1940,EAST AFRICA,SOUTH AFRICA,BATT,NAIROBI,KENYA,-1.2833,36.8167,SOMALIA,MOGADISHU,2.0411,45.3426,10.0,24.0,250 LB GP (GP-M57),12000,,17.0,,,,,,,,,0.0
51213,51304,3/1/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,VELLETRI & ROAD TO LANUVIO  (IN AID OF ANZIO BEACHEAD),41.68,12.78,,,,,,,,,0.0,,,,0.0,,10.0
51214,51305,3/1/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,CECCHINA AREA AND ROAD TO LANUVIO (IN AID OF ANZIO BEACHEAD),41.9,12.47,,,,,,,,,0.0,,,,0.0,,15.3
51223,51314,3/2/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,CISTERNA DI ROMA,41.57,12.83,,72.0,500 LB GP (GP-M43/M64),,18.0,,,,,,,,,,18.0
52466,52562,3/3/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,ZARA HARBOR,44.12,15.22,,,,,,,,,0.0,,,,0.0,,46.0
53064,53164,9/28/1944,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,BOUGAINVILLE,PURIATA RIVER,-6.6666666,155.3,,12.0,500 LB GP (GP-M43/M64),6000,3.0,,,,0.0,,,,0.0,6000.0,3.0
53074,53174,9/28/1944,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,SOLOMON ISLANDS,KIRINANI,-6.683333332999999,155.4833333,,6.0,500 LB GP (GP-M43/M64),3000,1.5,,,,0.0,,,,0.0,3000.0,1.5
53075,53175,9/28/1944,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,SOLOMON ISLANDS,MUSIMANAI,-6.716666667,155.5333333,,6.0,500 LB GP (GP-M43/M64),3000,1.5,,,,0.0,,,,0.0,3000.0,1.5
53076,53176,9/28/1944,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,SOLOMON ISLANDS,MOSIGETTA RD,-6.583333333,155.25,,6.0,500 LB GP (GP-M43/M64),3000,1.5,,,,0.0,,,,0.0,3000.0,1.5
53904,54006,9/4/1940,EAST AFRICA,SOUTH AFRICA,BATT,NAIROBI,KENYA,-1.2833,36.8167,SOMALIA,ISHA BAIDOA,3.066667,43.649802,0.0,12.0,250 LB GP (GP-M57),6000,,12.0,,,,,,,,,0.0
53905,54007,9/4/1940,EAST AFRICA,GREAT BRITAIN,WELL,SUMMIT,SUDAN,18.75,36.8167,SUDAN,KASSALA,15.45,36.4,,,,,,,,,,,,,,0.0,0.0
54225,54328,9/29/1944,PTO,NEW ZEALAND,PV-1 VENTURA,ESPIRITU SANTO,NEW HEBRIDES,-15.25,166.833333,BISMARK ARCHIPELAGO,WAITAVALO-WIDE BAY AREA,-4.966666667,152.0166667,,42.0,500 LB GP (GP-M43/M64),21000,10.5,,,,0.0,,,,0.0,21000.0,10.5
54476,54583,3/7/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,TARQUINA A/D,42.25,11.75,,,,,,,,,0.0,,,,0.0,,
54716,54823,9/9/1940,MTO,GREAT BRITAIN,WELL,PORT SUDAN,SUDAN,19.616667,37.216667,ERITREA,MASSAWA,15.6,39.45,,,,,,,,,,,,,,0.0,0.0
54717,54824,9/9/1940,MTO,GREAT BRITAIN,WELL,SUMMIT,SUDAN,18.75,36.8167,ERITREA,ASMARA,15.3333,38.9333,30.0,,250 LB GP (GP-M57),,,,25 LB INCENDIARY,,,,,,,0.0,0.0
55226,55342,3/9/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,MONTEROTONDO,42.05,12.6,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
55508,55625,9/15/1940,MTO,GREAT BRITAIN,,ADEN,YEMEN,12.7817,45.0267,ERITREA,ASSAB,13.0167,42.7333,,,,0,,,,,,,,,,0.0,0.0
55572,55692,9/18/1940,MTO,SOUTH AFRICA,JU86,NAIROBI,KENYA,-1.2833,36.8167,ETHIOPIA,YAVELLO,4.883333299999999,38.0833333,7.0,8.0,250 LB GP (GP-M57),,,16.0,20 LB,,,,,,,0.0,0.0
55573,55693,9/18/1940,EAST AFRICA,GREAT BRITAIN,WELL,ERKOWIT,SUDAN,18.75,37.0,SUDAN,KASSALA,15.45,36.4,,,,,,,,,,,,,,0.0,0.0
56386,56509,3/11/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,TIVOLI,41.97,12.8,,64.0,500 LB GP (GP-M43/M64),,16.0,,,,,,,,,,16.0
56406,56529,3/11/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,ZAGAROLA,41.83,12.87,,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
56810,56934,3/11/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,ALBINIA,42.5,11.22,,,,,,,,,0.0,,,,0.0,,
57699,57827,4/1/1945,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,ARSA CHANNEL COAL WHARF,45.02,14.05,120.0,,,,,,,,0.0,,,,0.0,,164.75
58007,58137,3/15/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,CASSINO,41.48,13.82,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
59906,60038,3/18/1944,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,SOLOMON ISLANDS,POROPORO CHOISEUL,-6.65,156.43333330000002,,60.0,500 LB GP (GP-M43/M64),30000,15.0,,,,0.0,,,,0.0,30000.0,15.0
60834,60969,10/6/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,MINING IN KHALKIS STRAITS [�KRA CHALK̍S],38.33,21.62,,12.0,1000 LB MINES,,6.0,,,,0.0,,,,0.0,,6.0
60975,61111,4/3/1945,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,NOVSKA M/Y,45.33,17.0,80.0,,,,,,,,0.0,,,,0.0,,177.75
61100,61236,3/19/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,BAGNI,44.02,10.62,,21.0,500 LB GP (GP-M43/M64),,5.25,,,,,,,,,,5.25
61310,61448,10/21/1940,MTO,GREAT BRITAIN,BLEN,PORT SUDAN,SUDAN,19.616667,37.216667,ERITREA,HARBOR OFF MASSAWA,15.7,39.6,,,,,,,,,,,,,,0.0,0.0
61863,62001,3/20/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,FROSINONE,41.63,13.37,,120.0,500 LB GP (GP-M43/M64),,30.0,,,,,,,,,,30.0
63833,63974,3/23/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,PADUA,45.38,11.9,,,,,,,,,0.0,,,,0.0,,78.0
64031,64177,11/6/1940,EAST AFRICA,GREAT BRITAIN,,KHARTOUM,SUDAN,15.58,32.52,SUDAN,GALLABAT & METEMMA,12.9667,36.2,,,,0,,,,,,,,,,0.0,0.0
64426,64578,11/7/1940,MTO,SOUTH AFRICA,JU86,NAIROBI,KENYA,-1.2833,36.8167,ETHIOPIA,GARDULLA ( ABYSSINIA),5.632999999999999,37.417,,,,0,,,,,,,,,,2260.0,1.13
65420,65577,3/27/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,SETTE,45.87,11.5,,38.0,500 LB GP (GP-M43/M64),,9.5,,,,,,,,,,9.5
65550,65709,4/6/1945,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,SOLOMON ISLANDS,"""KESSA, BUKA""",-5.1,154.5166667,,18.0,500 LB GP (GP-M43/M64),9000,4.5,,,,0.0,,,,0.0,9000.0,4.5
65648,65807,10/9/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,ATHENS-TATEI A/D,39.57,25.0,,,,,,,,,0.0,,,,0.0,,14.25
66598,66758,3/28/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,RIMINI,44.05,12.57,,,,,,,,,0.0,,,,0.0,,4.0
66682,66842,11/16/1940,MTO,SOUTH AFRICA,,NAIROBI,KENYA,-1.2833,36.8167,ERITREA,EL WAK (ITALIAN SOMALILAND),2.8094,40.9358,,,,0,,,,,,,,,,0.0,0.0
66947,67110,3/29/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,SANTO STEFANO CAMAS,38.02,14.35,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
66950,67113,3/29/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,CIVITAVECCHIA,42.1,11.78,,11.0,500 LB GP (GP-M43/M64),,2.75,,,,,,,,,,2.75
67028,67191,3/29/1944,ETO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,BULGARIA,SOFIA,42.7,23.32,,,,,,,,,0.0,,,,0.0,,133.0
67351,67516,3/29/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,ITALY,CESANO BRIDGE,43.7,13.2,,,,,,,,,0.0,,,,0.0,,2.0
67352,67517,3/29/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,FANO BRIDGE,43.83,13.03,,,,,,,,,0.0,,,,0.0,,6.0
67369,67534,3/30/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,CIVITA CASTELLANA,42.27,12.4,,48.0,500 LB GP (GP-M43/M64),,12.0,,,,,,,,,,12.0
68237,68403,4/1/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,GUARDEA,42.63,12.3,,48.0,500 LB GP (GP-M43/M64),,12.0,,,,,,,,,,12.0
68291,68457,4/1/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,ORBETELLA,42.45,11.22,,,,,,,,,0.0,,,,0.0,,2.0
68304,68470,4/2/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,FABA SABINA,42.2,12.72,,124.0,500 LB GP (GP-M43/M64),,31.0,,,,,,,,,,31.0
68417,68583,10/13/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,SZEKESFEHERVER M/Y,47.2,18.42,,,,,,,,,0.0,,,,0.0,,190.875
68476,68642,4/8/1945,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,TRENTO M/Y,46.08,11.13,93.0,,,,,,,,0.0,,,,0.0,,154.4
68683,68850,4/2/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,ITALY,CITTADELLA,45.63,11.78,,,,,,,,,0.0,,,,0.0,,4.5
68703,68870,4/3/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,NARNI,42.5,12.52,,76.0,500 LB GP (GP-M43/M64),,19.0,,,,,,,,,,19.0
68723,68890,4/3/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,ATTIGLIANO,42.52,12.28,,22.0,500 LB GP (GP-M43/M64),,5.5,,,,,,,,,,5.5
69112,69281,4/4/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,ROME,41.9,12.47,,24.0,500 LB GP (GP-M43/M64),,6.0,,,,,,,,,,6.0
69765,69935,12/8/1940,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,LIBYA,MELLAHA,32.9,13.28,,,,,,,,,0.0,,,,0.0,,0.0
69834,70004,4/6/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,CAPRANICA,42.27,12.18,,76.0,500 LB GP (GP-M43/M64),,19.0,,,,,,,,,,19.0
70177,70349,12/13/1940,MTO,GREAT BRITAIN,,ADEN,YEMEN,12.7817,45.0267,ETHIOPIA,DIREDAWA,9.5833,41.8667,,,,0,,,,,,,,,,0.0,0.0
70231,70405,4/7/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,MONTALTO DI CASTRO,42.35,11.62,,55.0,500 LB GP (GP-M43/M64),,13.75,,,,,,,,,,13.75
70245,70419,4/7/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,ORVIETO,42.72,12.12,,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
70320,70494,4/8/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,MANZIANA,42.05,12.15,,94.0,500 LB GP (GP-M43/M64),,23.5,,,,,,,,,,23.5
70644,70820,4/8/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,VITERBO,42.42,12.12,,12.0,500 LB GP (GP-M43/M64),,3.0,,,,,,,,,,3.0
70646,70822,4/8/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,TOLFA,42.15,11.95,,11.0,500 LB GP (GP-M43/M64),,2.75,,,,,,,,,,2.75
70749,70925,10/15/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,OPICINA M/Y,45.69,13.79,,,,,,,,,0.0,,,,0.0,,196.25
70849,71025,4/9/1945,MTO,USA,A36,BIBLIS AIRFIELD (Y-78),GERMANY,49.678889,8.451389,ITALY,46 00 N 012 40 E,46.0,12.67,,1.0,500 LB GP (GP-M43/M64),,0.25,,,,,,,,,,0.25
70869,71045,4/9/1945,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,"""TACTICAL TARGETS - SATERNO RIVER, NORTH ITALY S. AGATA CROSSING""",44.45,11.85,80.0,,,,,,,,0.0,,,,0.0,,209.7
71221,71397,10/16/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,ZAGREB E M/Y,45.82,15.97,,,,,,,,,0.0,,,,0.0,,228.875
71440,71616,4/9/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,LITTORIA,41.47,12.9,,64.0,500 LB GP (GP-M43/M64),,16.0,,,,,,,,,,16.0
71459,71635,4/9/1944,MTO,USA,A36,POMIGLIANO AIRFIELD,ITALY,40.916667,14.4,ITALY,TERRACINA,41.27,13.25,,20.0,500 LB GP (GP-M43/M64),,5.0,,,,,,,,,,5.0
72072,72249,12/30/1940,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,GREECE,CROTONE,39.09,17.13,,,,,,,,,0.0,,,,0.0,,0.0
72074,72251,12/30/1940,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,GREECE,TARANTO,40.47,17.23,,,,,,,,,0.0,,,,0.0,,0.0
72240,72417,4/10/1944,MTO,USA,A36,CASTEL VOLTURNO AIRFIELD,ITALY,41.036617,13.960642000000002,ITALY,MANZIANA,42.05,12.15,,94.0,500 LB GP (GP-M43/M64),,23.5,,,,,,,,,,23.5
72257,72434,4/10/1944,PTO,NEW ZEALAND,SBD DAUNTLESS,"""PIVA AIRSTRIP, BOUGAINVILLE""",SOLOMON ISLANDS,-6.216667,155.066667,BISMARK ARCHIPELAGO,VUNAPOPE & KERAVIA BAY,-4.333333333,152.33333330000002,,24.0,100 LB GP (GP-M30),2400,1.2,,,,0.0,,,,0.0,2400.0,1.2
72258,72435,4/10/1944,PTO,NEW ZEALAND,TBF AVENGER,ESPIRITU SANTO,NEW HEBRIDES,-15.25,166.833333,BISMARK ARCHIPELAGO,VUNAPOPE & KERAVIA BAY,-4.333333333,152.33333330000002,,24.0,500 LB GP (GP-M43/M64),12000,6.0,,,,0.0,,,,0.0,12000.0,6.0
73248,73427,1/9/1941,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,SICILY,MESSINA,38.19,15.57,,,,,,,,,0.0,,,,0.0,,0.0
73258,73438,1/10/1941,MTO,GREAT BRITAIN,SWORD,MALTA,MALTA,35.8575,14.4775,SICILY,PALERMO,38.13,13.36,,,,,,,,,0.0,,,,0.0,,0.0
73605,73796,1/21/1941,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,SICILY,SYRACUSE,37.08,15.28,,,,,,,,,0.0,,,,0.0,,0.0
73925,74118,1/22/1941,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,SICILY,AUGUSTA,37.25,15.22,,,,,,,,,0.0,,,,0.0,,0.0
73945,74141,1/28/1941,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,GREECE,NAPLES (CAPODACHINUS),40.84,14.28,,,,,,,,,0.0,,,,0.0,,0.0
73957,74159,1/29/1941,MTO,GREAT BRITAIN,BLEN,KHARTOUM,SUDAN,15.58,32.52,ETHIOPIA,GURA & MAI EDAGA,5.016,38.681999999999995,,,,,,,,,,,,,,,
73958,74160,1/29/1941,MTO,SOUTH AFRICA,,NAIROBI,KENYA,-1.2833,36.8167,ETHIOPIA,SHASHAMANA,7.2,38.6,,,,0,,,,,,,,,,0.0,0.0
73988,74198,2/3/1941,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,LIBYA,CASTEL BENITO,32.67,13.16,,,,,,,,,0.0,,,,0.0,,0.0
73989,74199,2/3/1941,MTO,SOUTH AFRICA,,NAIROBI,KENYA,-1.2833,36.8167,ETHIOPIA,"""AFMADU, DIF AND GOBWEN""",4.88333,38.0833,,,,0,,,,,,,,,,0.0,0.0
73990,74200,2/3/1941,MTO,GREAT BRITAIN,,KHARTOUM,SUDAN,15.58,32.52,ETHIOPIA,AZOZA,12.55,37.4333,,,,0,,,,,,,,,,0.0,0.0
74103,74313,4/11/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,VARESE A/C FACTORY,45.82,8.83,,,,,,,,,0.0,,,,0.0,,3.25
74158,74368,4/12/1944,PTO,NEW ZEALAND,SBD DAUNTLESS,"""PIVA AIRSTRIP, BOUGAINVILLE""",SOLOMON ISLANDS,-6.216667,155.066667,BISMARK ARCHIPELAGO,TALILI BAY,-4.183333333,152.1166667,,12.0,1000 LB GP (GP-M44/M65),12000,6.0,,,,0.0,,,,0.0,12000.0,6.0
74350,74560,2/4/1941,MTO,GREAT BRITAIN,BLEN,ADEN,YEMEN,12.7817,45.0267,ETHIOPIA,MAKALE (ABYSSINIA),13.4674,39.5335,,,,0,,,,,,,,,,0.0,0.0
74370,74589,2/7/1941,MTO,GREAT BRITAIN,WELL,KHARTOUM,SUDAN,15.58,32.52,ETHIOPIA,DANGILA,11.2667,36.8333,24.0,4.0,250 LB GP (GP-M57),2000,,,,,,4.0,20 LB FRAG,,,2000.0,1.0
74378,74597,2/7/1941,MTO,GREAT BRITAIN,BLEN,ADEN,YEMEN,12.7817,45.0267,ETHIOPIA,KOMBOLCHA (ABYSSINIA),11.0769,39.745,,,,0,,,,,,,,,,0.0,0.0
74668,74889,4/10/1945,ETO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,AUSTRIA,INNSBRUCK STATION M/Y,47.27,11.38,132.0,,,,,,,,0.0,,,,0.0,,149.5
75262,75492,10/20/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,GREECE,SAN BENEDETTE BRIDGE,42.95,13.88,,,,,,,,,0.0,,,,0.0,,25.5
75730,75964,4/14/1944,MTO,USA,A36,CASTEL VOLTURNO AIRFIELD,ITALY,41.036617,13.960642000000002,ITALY,FARBARA,42.0,12.0,,34.0,500 LB GP (GP-M43/M64),,8.5,,,,,,,,,,8.5
75929,76170,2/16/1941,MTO,GREAT BRITAIN,WELL,KHARTOUM,SUDAN,15.58,32.52,ERITREA,MAI EDAGA,14.9936,39.0433,,,,0,,,,,,,,,,0.0,0.0
75939,76192,2/19/1941,MTO,GREAT BRITAIN,WELL,WADI GAZOUZA,SUDAN,18.822567,36.817865000000005,ERITREA,ASMARA,15.3333,38.9333,,,500 LB/250 LB,0,,,X,,,,,,,7900.0,3.95
75956,76210,10/21/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,MARIBOR M/Y,46.57,15.63,,,,,,,,,0.0,,,,0.0,,181.21
76079,76333,4/15/1944,MTO,USA,A36,CASTEL VOLTURNO AIRFIELD,ITALY,41.036617,13.960642000000002,ITALY,OSTERIA,43.15,13.4,,46.0,500 LB GP (GP-M43/M64),,11.5,,,,,,,,,,11.5
76274,76528,2/21/1941,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,SICILY,CATANIA,37.47,15.06,,,,,,,,,0.0,,,,0.0,,0.0
76275,76529,2/21/1941,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,SICILY,COMISO,36.99,14.61,,,,,,,,,0.0,,,,0.0,,0.0
76299,76558,2/23/1941,MTO,GREAT BRITAIN,,KHARTOUM,SUDAN,15.58,32.52,ETHIOPIA,MAKALE,13.4674,39.5335,,,,0,,,,,,,,,,1590.0,0.795
76316,76575,2/24/1941,MTO,GREAT BRITAIN,WELL,MALTA,MALTA,35.8575,14.4775,LIBYA,TRIPOLI,32.92,13.08,,,,,,,,,0.0,,,,0.0,,0.0
76449,76709,4/15/1944,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,TURNU-SEVERIN,44.63,22.67,,,,,,,,,0.0,,,,0.0,,150.6
76482,76742,4/16/1944,MTO,USA,A36,CASTEL VOLTURNO AIRFIELD,ITALY,41.036617,13.960642000000002,ITALY,TERNI,42.55,12.65,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
76488,76748,4/16/1944,MTO,USA,A36,CASTEL VOLTURNO AIRFIELD,ITALY,41.036617,13.960642000000002,ITALY,BORGHETTO,44.82,10.1,,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
76703,76964,2/27/1941,MTO,GREAT BRITAIN,WELL,CARTHAGO,SUDAN,18.75,37.0,ETHIOPIA,BURYE,10.7,37.067,,,,0,,,,,,,,,,0.0,0.0
76879,77140,4/17/1944,MTO,USA,A36,CASTEL VOLTURNO AIRFIELD,ITALY,41.036617,13.960642000000002,ITALY,CAPRANICA,42.27,12.18,,16.0,500 LB GP (GP-M43/M64),,4.0,,,,,,,,,,4.0
76953,77214,4/11/1945,,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,,TACTICAL TARGETS - LOVEZZOLA AREA,44.57,11.87,80.0,,,,,,,,0.0,,,,0.0,,224.75
77057,77318,2/28/1941,MTO,GREAT BRITAIN,,KHARTOUM,SUDAN,15.58,32.52,ETHIOPIA,BURYE,10.7,37.067,,,,0,,,,,,,,,,0.0,0.0
77258,77525,4/18/1944,PTO,NEW ZEALAND,TBF AVENGER,ESPIRITU SANTO,NEW HEBRIDES,-15.25,166.833333,,KABANGA BAY,-4.4,152.4,,48.0,500 LB GP (GP-M43/M64),24000,12.0,,,,0.0,,,,0.0,24000.0,12.0
77299,77566,4/18/1944,PTO,NEW ZEALAND,SBD DAUNTLESS,"""PIVA AIRSTRIP, BOUGAINVILLE""",SOLOMON ISLANDS,-6.216667,155.066667,,KABANGA BAY,-4.4,152.4,,6.0,500 LB GP (GP-M43/M64),3000,1.5,,,,0.0,,,,0.0,3000.0,1.5
78169,78452,3/16/1941,MTO,GREAT BRITAIN,,KHARTOUM,SUDAN,15.58,32.52,ERITREA,KEREN,15.7833,38.45,,,,0,,,,,,,,,,0.0,0.0
78949,79252,3/23/1941,MTO,GREAT BRITAIN,,ADEN,YEMEN,12.7817,45.0267,ETHIOPIA,ADDIS ABABA - JIBUTI RAILWAY,9.0272,38.7369,,,,0,,,,,,,,,,0.0,0.0
79273,79595,4/19/1944,ETO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,BULGARIA,PLOVDIV,42.15,24.75,,,,,,,,,0.0,,,,0.0,,19.5
79279,79602,3/30/1941,EAST AFRICA,GREAT BRITAIN,LYSANDER,GORDON'S TREE,SUDAN,15.5333,32.5,,ASMARA,15.33,38.93,0.0,,,,,,,,,,,,,,0.0
79332,79661,4/2/1941,MTO,GREAT BRITAIN,BLEN,GAMBUT (LG 88?),EGYPT,30.98472222,29.85138889,LIBYA,MERSA BREGA - JEDABYA RD.,30.44,19.67,,,,,,,,,0.0,,,,0.0,,0.0
79333,79662,4/2/1941,MTO,GREAT BRITAIN,WELL,SHALLUFA,EGYPT,30.2469,32.4923,LIBYA,MERSA BREGA & NOFILIA,30.44,19.67,,,,,,,,,0.0,,,,0.0,,0.0
79573,79908,4/19/1944,MTO,GREAT BRITAIN,LIB,"""TORTORELLA, FOGGIA""",ITALY,4248,1355.0,ITALY,ELBA,42.75,10.17,,,,,,,,,0.0,,,,0.0,,2.0
